"","cnpj","matriz_filial","razao_social","nome_fantasia","cod_nat_juridica","inicio_atividade","cnae","endereco","telefone1","telefone2","fax","email","capital_social","porte","estado","cidade","lat","lng","cnaes_secundarios","cnpj8","participante_edital"
"11","22594205000185",1,"EBC ASSESSORIA CONTABIL LTDA","EBC CONTABIL","2240",20150603,6920601,"RUA,CONSELHEIRO MEIRELES,109,CASA: 1 ,JARDIM AMERICA,21240480,RJ,Rio de Janeiro","21-33460650","-","-","ELIANACAMILOEBC@GMAIL.COM","5000.00","5","RJ","6001",-22.812004,-43.32031,"{}","22594205","NULL"
"12","22299803000121",1,"LEGADO CONTABIL ASSESSORIA EMPRESARIAL LTDA","LEGADO CONTABIL","2062",20150422,6920601,"RUA CAROEN 11 SALA: 310  PENHA CIRCULAR 21210340","21-33417683","21-21644010","-","HALECRIM@GMAIL.COM","20000.00","3","RJ","6001",-22.8425844662705,-43.2997209647413,"{6920602,7020400}","22299803","NULL"
"13","14234416000340",2,"REVIEW CONTABIL CONSULTORIA LTDA","REVIEW CONTABIL","2240",20121218,6920601,"AVENIDA AYRTON SENNA 2150 2150 BLOCO: C  SALA: 401 - PARTE; BARRA DA TIJUCA 22775900","21-25979020","21-99592033","-","CARLOS@REVIEWCONTABIL.COM","10000.00","5","RJ","6001",0,0,"{}","14234416","NULL"
"14","42176800000108",1,"CONTABIL MONTE BRANCO LTDA",NA,"2240",19730115,6920601,"RUA,DA ASSEMBLEIA,00034,      PAV 11 SALA 1103,CENTRO,20011000,RJ,Rio de Janeiro","21-25311595","21-25310282","021-25310283","FERNANDORPSOARES@HOTMAIL.COM","0.00","3","RJ","6001",-22.90482,-43.175743,"{}","42176800","NULL"
"15","4721321000136",1,"JOSE ZAMBOLIN","ALAVANCA","2135",20010925,6920601,"AVENIDA PRESIDENTE VARGAS 482 SALA: 507 - PARTE  CENTRO 20071000","21-36841006","21-99687822","21-36841006","MEDEIROS@ALAVANCA.NET","0.00","5","RJ","6001",-22.9014015931099,-43.1803294257603,"{}","47213210","NULL"
"16","10494304000297",2,"SOUZAMAAS OUTSOURCING CONTABIL EIRELI","SOUZAMAAS OUTSOURCING","2305",20140925,6920601,"RUA,AMACENA,80,CONJ: 203 ,HIGIENOPOLIS,21061100,RJ,Rio de Janeiro","11-38645897","-","-","JURIDICO@SOUZAMAAS.COM.BR","4000000.00","3","RJ","6001",-22.86939,-43.26172,"{}","10494304","NULL"
"17","10945059000297",2,"PREVISAO - ASSESSORIA CONTABIL LTDA","PREVISAO - ASSESSORIA E CONSULTORIA CONTABIL","2240",20140527,6920601,"RUA VOLUNTARIOS DA PATRIA 190 SALA: 1110  BOTAFOGO 22270012","31-32413350","-","-","ATENDIMENTO@PREVISAOCONTABIL.CNT.BR","40000.00","3","RJ","6001",0,0,"{}","10945059","NULL"
"18","11305592000176",1,"FREITAS E BARBOSA CONTADORES ASSOCIADOS",NA,"2232",20091007,6920601,"AVENIDA,CESARIO DE MELO,3600,BLOCO: 01  SALA: 207 ,CAMPO GRANDE,23050102,RJ,Rio de Janeiro","21-35948149","-","21-35929321","CBARBOSA@CONTABMED.COM.BR","3000.00","5","RJ","6001",-22.906963,-43.569702,"{}","11305592","NULL"
"19","14234416000260",2,"REVIEW CONTABIL CONSULTORIA LTDA","REVIEW CONTABIL","2240",20121218,6920601,"RUA,CRUZ E SOUSA,112,LOJA: A  LOJA: B ,ENCANTADO,20745000,RJ,Rio de Janeiro","21-25979020","21-99592033","-","CARLOS@REVIEWCONTABIL.COM","10000.00","5","RJ","6001",-22.897717,-43.30548,"{}","14234416","NULL"
"20","14382193000105",1,"IGAF & ASSOCIADOS CONSULTORES CONTABEIS S/S LTDA","IGAF WORLDWIDE BRASIL CONSULTORES CONTABEIS","2240",20110902,6920601,"RUA,MEXICO,11,CONJ: DE SALAS 1301 PARTE ,CENTRO,20031144,RJ,Rio de Janeiro","21-25240345","21-92250169","21-22631752","IGAFRJ@IGAFBRASIL.COM.BR","4000.00","3","RJ","6001",-22.911263,-43.174355,"{}","14382193","NULL"
"21","18227733000200",2,"PEMOM AUDITORES INDEPENDENTES S/S","ECOVIS PEMOM AUDITORES INDEPENDENTES","2232",20140930,6920601,"RUA,SAO JOSE,40,: 4 ANDAR - PARTE ,CENTRO,20010020,RJ,Rio de Janeiro","21-91557207","-","-","ANDERSONXBP@GMAIL.COM","10000.00","5","RJ","6001",-22.90571,-43.176186,"{6920602}","18227733","NULL"
"22","18295710000151",1,"G M SANTOS SERVICOS CONTABEIS LTDA","GM CONTABILIDADE","2062",20130415,6920601,"RUA,PLINIO DE OLIVEIRA,253,SALA: 314 ,PENHA,21070040,RJ,Rio de Janeiro","21-32159435","21-31647078","-","HUGONEVES1@HOTMAIL.COM","60000.00","5","RJ","6001",-22.84065,-43.279305,"{}","18295710","NULL"
"23","18474876000135",1,"ETIKA CONTABILIDADE E GESTAO EMPRESARIAL LTDA","ETIKA CONTABILIDADE E GESTAO EMPRESARIAL LTDA","2240",20130711,6920601,"AVENIDA,RIO BRANCO,156,SALA: 1835 ,CENTRO,20040003,RJ,Rio de Janeiro","21-71530245","21-86521550","21-71530245","ALEXSANPEREIRA@YAHOO.COM.BR","10000.00","3","RJ","6001",-22.90659,-43.17714,"{8599604,8230001}","18474876","NULL"
"24","18910905000326",2,"TMF APRIORI SERVICOS CONTABEIS LTDA.",NA,"2240",20140923,6920601,"AVENIDA JOSE SILVA DE AZEVEDO NETO 200 BLOCO: 03  SALA: 106; EDIF: EVOLUTION IV; BARRA DA TIJUCA 22775056","11-35098200","-","11-36742030","DANIEL.FRANCO@TMF-GROUP.COM","4185311.00","5","RJ","6001",-22.9890876244631,-43.3607256488397,"{}","18910905","NULL"
"25","16915874000109",1,"PROSPER CONTABILIDADE LTDA",NA,"2062",20120910,6920601,"RUA,GENERAL AZEVEDO PIMENTEL,14,APT: 504 ,COPACABANA,22011050,RJ,Rio de Janeiro","21-22557039","21-98941301","-","CONTTHIAGO@HOTMAIL.COM","1000.00","3","RJ","6001",-22.965858,-43.180565,"{}","16915874","NULL"
"26","17305546000153",1,"LJPR CONTADORES E AUDITORES INDEPENDENTES LTDA",NA,"2240",20121213,6920601,"AVENIDA TREZE DE MAIO 23 23 SALA: 2502 E 2505 PARTE  CENTRO 20031902","21-25582200","21-20760608","21-22850603","PSCONTAX@HOTMAIL.COM","2000.00","3","RJ","6001",-22.9089827976801,-43.1771437496681,"{6920602}","17305546","NULL"
"27","21056822000164",1,"OLIVEIRA BRANDAO CONTADORES LTDA.",NA,"2240",20140915,6920601,"RUA,RIACHUELO,414,: APTO. 504 ,CENTRO,20230013,RJ,Rio de Janeiro","21-91557207","-","-","ANDERSONXBP@GMAIL.COM","3000.00","5","RJ","6001",-22.91317,-43.191124,"{}","21056822","NULL"
"28","20955321000157",1,"RODRIGUES E BARCELLOS ASSESSORIA CONTABIL LTDA","L&M ASSESSORIA CONTABIL","2062",20140804,6920601,"RUA VILELA TAVARES 253 APT: 201  MEIER 20725220","21-91964637","21-73309696","-","LOZINHALO@YAHOO.COM.BR","5000.00","5","RJ","6001",-22.9100598548387,-43.2861042424261,"{8299799}","20955321","NULL"
"29","19381764000100",1,"FURLANETTO CONSULTORIA EIRELI","FURLANETTO CONSULTORIA","2305",20131206,6920601,"ESTRADA DA CACUIA 661 SALA: 109  CACUIA 21921001","21-87060109","-","-","FURLANETTO@LIVE.COM","339000.00","3","RJ","6001",-22.8092240986837,-43.1831426046033,"{6920602,7020400,7810800,7820500,8599604}","19381764","NULL"
"30","22153164000191",1,"GUARDIAN ASSESSORIA E CONSULTORIA EMPRESARIAL LTDA",NA,"2062",20150320,6920601,"RUA,CADETE POLONIA,466,ANDAR: 102 ,SAMPAIO,20961050,RJ,Rio de Janeiro","21-31733334","-","-","CASMCONSULTORIA@GMAIL.COM","120000.00","3","RJ","6001",-22.901155,-43.265553,"{8211300}","22153164","NULL"
"31","21591505000148",1,"VETOR 360 CONTABILIDADE LTDA","VETOR CONTABIL","2240",20141217,6920601,"RUA,DOM GERARDO,63,SALA: 402 - PARTE ,CENTRO,20090030,RJ,Rio de Janeiro","21-22336718","-","21-22234590","JUNIOR@4ACCOUNT.COM.BR","10000.00","5","RJ","6001",-22.897995,-43.17977,"{}","21591505","NULL"
"32","10805839000150",1,"MAPIRIO SERVICOS E ASSESSORIA CONTABIL",NA,"2232",20090416,6920601,"AVENIDA,ALMIRANTE BARROSO,00006,      GRP 1011,CENTRO,20031000,RJ,Rio de Janeiro","21-25049388","-","21-25085622","MANOELLEITE@MAPI-RIO.COM.BR","50000.00","5","RJ","6001",-22.907927,-43.17591,"{}","10805839","NULL"
"33","22094089000135",1,"RVW CONTABILIDADE LTDA","REVIEW CONTABIL","2240",20150319,6920601,"RUA,DIAS DA CRUZ,148,SALA: 504 ,MEIER,20720012,RJ,Rio de Janeiro","21-31974413","21-25979020","-","CARLOS@REVIEWCONTABIL.COM.BR","10000.00","3","RJ","6001",-22.901985,-43.279087,"{}","22094089","NULL"
"34","74038795000163",1,"AUDICENT ASSESSORIA EMPRESARIAL EIRELI",NA,"2313",19931202,6920601,"RUA,DO OUVIDOR 60,60,SALA  702,CENTRO,20040924,RJ,Rio de Janeiro","21-22408315","-","-","AFFONSO@AUDICENT.COM.BR","88000.00","3","RJ","6001",-22.9026,-43.176243,"{6920602,6821801,6821802,6621501}","74038795","NULL"
"35","11511610000176",1,"AR2 ASSESSORIA CONTABIL EIRELI","AR2 ASSESSORIA CONTABIL","2313",20100121,6920601,"AVENIDA,RIO BRANCO 156,156,SALA  702,CENTRO,20040901,RJ,Rio de Janeiro","21-25185997","21-92742814","21-25185997","ALEXANDRECONTADOR@GLOBO.COM","80000.00","5","RJ","6001",-22.90659,-43.17714,"{6920602,7020400}","11511610","NULL"
"36","15164310000119",1,"FIBRA CONTABILIDADE EIRELI","FIBRA CONTABILIDADE LTDA","2313",20120307,6920601,"RUA,VISCONDE DE PIRAJA,414,      SAL 718,IPANEMA,22410905,RJ,Rio de Janeiro","21-32121350","-","-","fibra@fibracontabilidade.com.br","72400.00","5","RJ","6001",-22.984432,-43.20095,"{}","15164310","NULL"
"37","68589795000159",1,"ASSESSORIA CONTABIL COSENZA LTDA","CONTABILIDADE & CO","2240",19920723,6920601,"RUA,DA QUITANDA,00187,      SAL 501,CENTRO,20091005,RJ,Rio de Janeiro","21-22606138","-","-","ALDEIR.SANTOS@CONTABILIDADECO.COM.BR","88000.00","3","RJ","6001",-22.899057,-43.17899,"{7020400,8211300}","68589795","NULL"
"38","43563221000180",1,"NEVES MESSIAS & AZEVEDO CONTABILIDADE E PROJETOS DE ORCAMENTOS LTDA",NA,"2062",20210917,6920601,"RUA,NOSSA SENHORA DE FATIMA PAL 39587,24,CASA,PENHA,21072750,RJ,Rio de Janeiro","21-32159435","-","-","DIRETORIA@HGMCONTABILIDADE.COM.BR","10000.00","3","RJ","6001",-22.848148,-43.285835,"{}","43563221","NULL"
"39","73348310000175",1,"PORTELA ASSESSORIA CONTABIL E TRIBUTARIA - EIRELI",NA,"2313",19930910,6920601,"RUA,BENEDITINOS,18,9 ANDAR,CENTRO,20081050,RJ,Rio de Janeiro","21-25163424","21-25163419","021-2536382","PORTELA@PORTELAASSESSORIA.COM.BR","78800.00","3","RJ","6001",-22.898882,-43.18065,"{}","73348310","NULL"
"40","11108314000129",1,"CARAN SERVICOS CONTABEIS LTDA","CARAN SERVICOS CONTABEIS LTDA","2062",20090902,6920601,"RUA,ANFILOFIO DE CARVALHO,29,      SALA 819 PARTE,CENTRO,20030060,RJ,Rio de Janeiro","21-35153100","21-35153094","21-35153102","FERNANDO.VITOR@CONCICSERVICOS.COMJ.BR","20000.00","5","RJ","6001",-22.90829,-43.174126,"{}","11108314","NULL"
"41","23104282000172",1,"MCD CONTABIL LTDA","MCD CONTABIL ASSESSORIA E CONSULTORIA EMPRESARIAL","2062",20150819,6920601,"RUA,DA QUITANDA,00086,      SAL 201,CENTRO,20091902,RJ,Rio de Janeiro","21-37471993","-","-","COMERCIAL@MCDCONTABIL.COM.BR","30000.00","3","RJ","6001",-22.9028,-43.177284,"{6920602,7020400,8211300,8219999,8599699}","23104282","NULL"
"42","43695243000102",1,"R&B CONSULTORIA E GESTAO EMPRESARIAL LTDA","R&B CONSULTORIA EMPRESARIAL","2240",20210928,6920601,"ESTRADA,DOS BANDEIRANTES,00470,      SAL 0327,TAQUARA,22710112,RJ,Rio de Janeiro","21-24273226","-","-","CONTROLADORIA@ALRIMOVEIS.COM","10000.00","3","RJ","6001",-22.935186,-43.372097,"{6920602,8211300,8219999}","43695243","NULL"
"43","19122085000109",1,"BPOFFICE SOLUTIONS SERVICOS DE CONTABILIDADE LTDA.","BPOFFICE SOLUTIONS","2240",20131010,6920601,"RUA,LAURO MULLER,00116,      SAL 503,BOTAFOGO,22290906,RJ,Rio de Janeiro","21-37977100","21-37977109","-","RONALDO.SANTOS@BPOFFICESOLUTIONS.COM.BR","10000.00","3","RJ","6001",-22.956675,-43.176373,"{}","19122085","NULL"
"44","73594913000157",1,"ON TIME-CONTAB ASSESS E CONSULT DE EMPRESAS S/C LTDA","ON TIME","2240",19931007,6920601,"RUA,GILDASIO AMADO,55,SALA  209,BARRA DA TIJUCA,22631020,RJ,Rio de Janeiro","21-97966466","21-88492311","-","ontime@oi.com.br","200.00","3","RJ","6001",-23.003027,-43.32652,"{}","73594913","NULL"
"45","20226293000137",1,"EBTAX ASSESSORIA TRIBUTARIA EIRELI",NA,"2313",20140508,6920601,"RUA,DA ASSEMBLEIA,00010,      SAL 3706,CENTRO,20011901,RJ,Rio de Janeiro","11-32670495","-","-","CONTATO@TAXMAPTRIBUTOS.COM.BR","100000.00","5","RJ","6001",-22.904358,-43.175095,"{}","20226293","NULL"
"46","24327665000172",1,"G LIMA E A SAMPAIO SERVICOS CONTABEIS LTDA","GLASSCONT","2062",20160307,6920601,"RUA,VISCONDE DE INHAUMA,00050,      GRP 1208,CENTRO,20091007,RJ,Rio de Janeiro","21-37322427","-","-","CONTABIL@GLASSCONT.COM.BR","5000.00","3","RJ","6001",-22.899477,-43.17835,"{8211300}","24327665","NULL"
"47","17172666000120",1,"ELIAS, FREITAS E ASSOCIADOS CONSULTORIA E ASSESSORIA CONTABIL E FINANCEIRA LTDA","EFA CONTABILIDADE","2062",20121114,6920601,"BOULEVARD,VINTE E OITO DE SETEMBRO,00062,      SAL 0510,VILA ISABEL,20551031,RJ,Rio de Janeiro","21-64445359","-","-","TADEU.ELIAS@EFACONTABILIDADE.COM.BR","2000.00","3","RJ","6001",-22.91521,-43.243004,"{7020400}","17172666","NULL"
"48","68782168000130",1,"PEDROZA CONTABILIDADE S/S LTDA.","PEDROZA CONTABILIDADE","2240",19930215,6920601,"RUA MAYRINK VEIGA 32 1003/04 1101/02/03 CENTRO 20090050","21-25187743","-","21-25187743","pedroza@pedroza.com.br","0.00","3","RJ","6001",-22.8998316427953,-43.1808557632581,"{}","68782168","NULL"
"49","73211823000130",1,"ONNIX ASSESSORIA E CONSULTORIA EMPRESARIAL S/C LTDA",NA,"2240",19930702,6920601,"RUA URANOS 1063 SALA 301 RAMOS 21060070","021-5603223","-","021-5738729","ponnix@uol.com.br","0.00","5","RJ","6001",-22.8541122917075,-43.2612427785215,"{}","73211823","NULL"
"50","19254513000157",1,"SOLUCAO ASSESSORIA CONTABIL E TRIBUTARIA EIRELI",NA,"2305",20131113,6920601,"AVENIDA,EMBAIXADOR ABELARDO BUENO,00001,      BLC 1 SAL 513A 514A,JACAREPAGUA,22775022,RJ,Rio de Janeiro","21-86041122","-","21-26681907","EDMISSIO@GMAIL.COM","67800.00","3","RJ","6001",-22.97318,-43.380264,"{6822600}","19254513","NULL"
"51","15103744000109",1,"PAULO R FELIX SERVICOS DE CONTABILIDADE",NA,"2135",20120113,6920601,"RUA,ENGENHEIRO MIRANDA RIBEIRO,168,CASA  03,REALENGO,21710300,RJ,Rio de Janeiro","21-78772475","-","-","PAULOROBERTOCONTADOR@HOTMAIL.COM","10000.00","3","RJ","6001",-22.876173,-43.42657,"{8211300}","15103744","NULL"
"52","25447609000134",1,"PERFEICAO CONTABILIDADE E CONSULTORIA LTDA","PERFEICAO CONTABILIDADE E CONSULTORIA","2240",20160801,6920601,"RUA,TREZENTOS E CINQUENTA E DOIS  PAA 10448/ PAL 40481,00405,      BLC 2 SAL 1008,JACAREPAGUA,22775040,RJ,Rio de Janeiro","21-96677460","-","-","CONTATO@PERFEICAOCONSULTORIA.COM","10000.00","3","RJ","6001",-22.97268,-43.33666,"{7020400,8211300}","25447609","NULL"
"53","7798294000198",1,"BOATE JEROIZA LTDA",NA,"2062",20060116,6920601,"RUA EVARISTO DA VEIGA 00016       GRP 1105 CENTRO 20031040","21-27125840","21-93009016","21-22202701","MARCELLO@JMPCONTADORES.COM.BR","0.00","5","RJ","6001",-22.909777419355,-43.1768364975185,"{6920602}","77982940","NULL"
"54","14524583000164",1,"RIMAR CONTABIL LTDA",NA,"2240",20111007,6920601,"RUA,FELIPE CARDOSO,80,SALA  201 A 204,SANTA CRUZ,23515000,RJ,Rio de Janeiro","21-33952110","21-33952424","21-33952110","rimar@rimarcontabil.com.br","30000.00","3","RJ","6001",-22.917156,-43.68381,"{}","14524583","NULL"
"55","20427968000106",1,"BEXCELL RJ CONTABILIDADE SOCIEDADE SIMPLES LTDA","BEXCELL RIO","2240",20140609,6920601,"AVENIDA,GENARO DE CARVALHO,03117,      APT 202,RECREIO DOS BANDEIRANTES,22795077,RJ,Rio de Janeiro","21-22625747","-","-","ALEX.MADUREIRA@BEXCELL.COM.BR","10000.00","5","RJ","6001",-23.020037,-43.47219,"{}","20427968","NULL"
"56","14974634000150",1,"A C DE ANDRADE CONTABILIDADE, CONSULTORIA E ASSESSORIA EMPRESARIAL","A E M ASSESSORES CONTABILIDADE","2135",20120125,6920601,"ESTRADA,DO TINGUI,2541,APT   102 LOT 06 PAL 45261,CAMPO GRANDE,23075006,RJ,Rio de Janeiro","21-32926059","-","21-34055229","aemassessores@bol.com.br","5000.00","3","RJ","6001",-22.882032,-43.57982,"{}","14974634","NULL"
"57","22332036000105",1,"CF NITEROI CONTABILIDADE E AUDITORIA LTDA",NA,"2240",20150427,6920601,"AVENIDA,VICENTE DE CARVALHO,909,BLOCO 1                   SALA  725,VILA DA PENHA,21210623,RJ,Rio de Janeiro","21-32563555","-","-","JAQUELINE@CFCONTABILIDADE.COM","99800.00","5","RJ","6001",-22.850393,-43.309155,"{}","22332036","NULL"
"58","21131757000194",1,"DIREKTO ASSESSORIA CONTABIL E DESENVOLVIMENTO EMPRESARIAL LTDA",NA,"2062",20140929,6920601,"RUA,ENGENHEIRO ENALDO CRAVO PEIXOTO,00105,      SAL 0811,TIJUCA,20540106,RJ,Rio de Janeiro","21-35701275","-","-","GUSTAVO@DIREKTOCONTABIL.COM.BR","80000.00","3","RJ","6001",-22.922474,-43.23476,"{}","21131757","NULL"
"59","11081350000146",1,"J.P.M. NEVES CONSULTORIA CONTABIL S/C LTDA","NEVES CONSULTORIA CONTABIL","2240",20090805,6920601,"ESTRADA ADHEMAR BEBIANO 3546 CASA  28 INHAUMA 20766720","21-22295425","21-98855569","-","MASNEVES@GMAIL.COM","5000.00","5","RJ","6001",-22.8654601112588,-43.2896446841422,"{7020400,6920602}","11081350","NULL"
"60","1010385000130",1,"ELEICAO 2008 ABEL PALMA VEREADOR",NA,"4090",19960109,6920601,"RUA MIGUEL COUTO 131 SALA  SALA 401 PARTE CENTRO 20070030","21-99553777","21-99553777","-","severo_sa@bol.com.br","0.00","5","RJ","6001",-22.9004522128801,-43.1808633594264,"{}","10103850","NULL"
"61","7669145000129",1,"ASSOCIACAO DE APOIO AS EMPREGADAS DOMESTICAS DE SANTA ZITA",NA,"3999",20050906,6920601,"RUA PEREIRA DE SIQUEIRA 40 APARTAMENTO 301 TIJUCA 20550020","21-22845382","21-22342460","-","jcopolilo@ig.com.br","0.00","5","RJ","6001",0,0,"{}","76691450","NULL"
"62","19179271000184",1,"SINAPSE CONTABILIDADE LTDA","SINAPSE CONTABILIDADE","2062",20131031,6920601,"RUA ACRE 92 SALA  601 CENTRO 20081000","21-80991010","-","-","advogados@lafscontabilidade.com.br","10000.00","3","RJ","6001",-22.8996629686364,-43.1816558361129,"{8291100}","19179271","NULL"
"63","2172175000101",1,"BERCO 99 REPRODUCAO EQUINA LTDA",NA,"2240",19970627,6920601,"ESTRADA DO GALEAO 00435       SALAS 308 E 309 JARDIM GUANABARA 21931383","21-95850756","-","-","NILSON@3CCONTABILIDADE.COM","5000.00","5","RJ","6001",0,0,"{8211300}","21721750","NULL"
"64","7912609000186",1,"ALCEU DAL POZZO","MAGNA CASTRO CONTABILIDADE","2135",20060330,6920601,"AVENIDA CALOGERAS 00006       APT 207 CENTRO 20030070","21-88610003","-","21-37981607","MAGNA_CONTABILIDADE@HOTMAIL.COM","0.00","5","RJ","6001",-22.9114930227653,-43.1730098062784,"{7020400}","79126090","NULL"
"65","10215662000132",1,"CARLOS MARINHO, MEIRELLES, FAGUNDES E PORTELLA ASSESSORIA CONTABIL",NA,"2232",20080723,6920601,"RUA,TEOFILO OTONI,00015,      SAL 1004 SAL 1005,CENTRO,20090900,RJ,Rio de Janeiro","21-22636811","-","21-22636811","DIRETORIA@GRUPOMAXIMUS.SRV.BR","3000.00","5","RJ","6001",-22.899723,-43.17676,"{}","10215662","NULL"
"66","23257698000120",1,"MULTIPLO SERVICOS CONTABEIS LTDA","MULTIPLO CONTABILIDADE","2240",20150904,6920601,"AVENIDA,PASTOR MARTIN LUTHER KING JR.,00126,      BLC 9 SAL 806 TOR 1,DEL CASTILHO,20765000,RJ,Rio de Janeiro","21-36484900","-","21-36484900","CONTATO@MULTIPLOCONTABILIDADE.COM.BR","50000.00","3","RJ","6001",-22.879036,-43.271828,"{}","23257698","NULL"
"67","8772047000185",1,"LORENA FRANCESCHINI FOPPA","NS CONTABILIDADE","2135",20070409,6920601,"RUA DIAS DA CRUZ 143 SALA  403 E 404 MEIER 20720010","21-22907272","21-22907272","-","nsconsultoria2006@yahoo.com.br","0.00","5","RJ","6001",-22.9024279164694,-43.2811258066825,"{6920602}","87720470","NULL"
"68","41623413000100",1,"CIANNELLA CONTABILIDADE REAL E TRIBUTARIA LTDA","CIANNELLA CONTABILIDADE REAL E TRIBUTARIA","2240",20210419,6920601,"TRAVESSA,FARIA MACHADO,00021,,PIEDADE,20740630,RJ,Rio de Janeiro","21-25096161","-","-","PEDRO.CIANNELLA@HOTMAIL.COM","20000.00","5","RJ","6001",-22.899012,-43.31507,"{}","41623413","NULL"
"69","4206152000104",1,"DANILO DUARTE DA CUNHA FISIOTERAPEUTA LTDA",NA,"2062",20001215,6920601,"AVENIDA RIO BRANCO 14 ANDAR 7 CENTRO 20090000","21-22918977","21-88448401","21-22918977","correia@infolink.com.br","5000.00","3","RJ","6001",-22.898352876219,-43.180197861244,"{}","42061520","NULL"
"70","42076591000120",1,"C&R ASSESSORIA CONTABIL LTDA",NA,"2062",20210525,6920601,"AVENIDA EMBAIXADOR ABELARDO BUENO 00001       BLC 01 SAL 317E JACAREPAGUA 22775022","21-32170616","-","-","GUILHERME@GRUPOEPICUS.COM.BR","10000.00","3","RJ","6001",-22.973180646894,-43.3802629163366,"{7020400,8599604}","42076591","NULL"
"71","4197540000249",2,"LORIGRAF DA BAHIA TINTAS ESPECIAIS LTDA","TMF BRASIL","2062",20011219,6920601,"AVENIDA JOSE SILVA DE AZEVEDO NETO 200 COND  02                  BLOCO 3                   ANDAR 2 BARRA DA TIJUCA 22775056","11-35098200","-","21-22151950","TMFGROUPBRAZIL.LEGAL@TMF-GROUP.COM","52500.00","3","RJ","6001",-22.9890876244631,-43.3607256488397,"{}","41975400","NULL"
